Chr	start	end	strand
Chr3	13228985	13229350	+
Chr3	10899812	10900757	-
Chr3	15564951	15565168	+
Chr3	9857697	9857881	+
Chr3	14738726	14741751	-
Chr3	11959242	11960293	-
Chr3	13227323	13228362	-
Chr3	1359234	1359651	-
Chr3	12682780	12683139	-
Chr3	19176693	19177639	-
Chr3	16708510	16708835	+
Chr3	11852743	11853069	+
Chr3	14272908	14285452	-
Chr3	10934174	10934312	-
Chr3	12713632	12714051	+
Chr3	2661607	2661638	+
Chr3	11949431	11949755	-
Chr3	16412149	16412199	-
Chr3	14458067	14459111	-
Chr3	16182243	16182606	-
Chr3	14676582	14677720	-
Chr3	17947672	17947995	-
Chr3	13127135	13127553	-
Chr3	11021715	11022665	+
Chr3	9900778	9901141	-
Chr3	20229250	20229270	+
Chr3	12900287	12901426	-
Chr3	115539	115899	-
Chr3	12275507	12275925	-
Chr3	16519642	16520784	+
Chr3	12320253	12321302	-
Chr3	12124794	12124944	-
Chr3	11455174	11455499	+
Chr3	13295317	13295475	+
Chr3	7841286	7841608	-
Chr3	15607285	15607608	-
Chr3	9298739	9299099	-
Chr3	6948107	6948525	-
Chr3	13238992	13239354	+
Chr3	17839727	17840674	+
Chr3	12611960	12612378	-
Chr3	18519391	18519642	-
Chr3	21008239	21008659	+
Chr3	15450046	15453326	-
Chr3	11266690	11266744	-
Chr3	17622863	17623916	+
Chr3	11166459	11166782	-
Chr3	15076694	15076803	-
Chr3	16584878	16585241	-
Chr3	9967546	9967771	+
Chr3	12874493	12875210	+
Chr3	11911758	11912172	-
Chr3	10908039	10908450	-
Chr3	11054935	11055895	+
Chr3	11707933	11708263	+
Chr3	14379638	14380048	+
Chr3	12133421	12133788	-
Chr3	10560073	10560431	+
Chr3	11135188	11135596	-
Chr3	18543434	18543493	-
Chr3	15550110	15551139	-
Chr3	17557132	17557802	-
Chr3	17051430	17051553	+
Chr3	14830402	14836116	-
Chr3	15206649	15207059	+
Chr3	11672114	11673239	+
Chr3	7911667	7912074	-
Chr3	9769048	9769415	-
Chr3	11706455	11706785	+
Chr3	9541251	9541574	+
Chr3	16560364	16563589	+
Chr3	18652085	18653144	+
Chr3	5869907	5870868	+
Chr3	5643110	5643465	-
Chr3	1572216	1572550	+
Chr3	9559676	9559752	-
Chr3	18543378	18543433	+
Chr3	13236380	13237436	+
Chr3	12696669	12697027	+
Chr3	16074924	16075333	-
Chr3	10106100	10111467	+
Chr3	17032568	17032898	+
Chr3	17577292	17578250	-
Chr3	21363604	21364016	+
Chr3	17355400	17355556	-
Chr3	11245358	11246484	-
Chr3	10961550	10961880	+
Chr3	18739837	18740797	+
Chr3	13498414	13498754	-
Chr3	11621949	11622911	+
Chr3	15682665	15683021	-
Chr3	1369680	1370090	+
Chr3	19311753	19312081	-
Chr3	2808422	2818893	+
Chr3	9563856	9564036	+
Chr3	10433742	10433774	+
Chr3	23109115	23109445	+
Chr3	15767552	15767677	-
Chr3	4087388	4087713	+
Chr3	13602818	13603228	+
Chr3	17042053	17043012	-
Chr3	10523478	10523884	-
Chr3	15366940	15367297	+
Chr3	14590256	14591220	+
Chr3	18062634	18063039	-
Chr3	9456003	9456374	+
Chr3	11705697	11706028	+
Chr3	17396012	17396380	-
Chr3	12957800	12957841	-
Chr3	15855450	15856479	+
Chr3	15411834	15412163	-
Chr3	13333284	13343593	-
Chr3	11327496	11328616	+
Chr3	15002511	15003066	-
Chr3	5616658	5616694	-
Chr3	15651325	15652471	+
Chr3	16569679	16570084	-
Chr3	11392706	11393765	-
Chr3	16125368	16125775	+
Chr3	17355557	17356679	-
Chr3	17395946	17396011	-
Chr3	11309900	11310244	-
Chr3	12693106	12693475	-
Chr3	13421918	13423042	+
Chr3	16222651	16225512	+
Chr3	7734538	7734570	+
Chr3	13133275	13139033	+
Chr3	20874243	20874649	-
Chr3	10254594	10254962	-
Chr3	5584483	5584812	-
Chr3	20338422	20339385	+
Chr3	16832109	16832281	+
Chr3	13449283	13449691	+
Chr3	9402083	9403113	+
Chr3	11319279	11319496	-
Chr3	15703165	15703520	-
Chr3	2250860	2251266	-
Chr3	15026910	15027940	+
Chr3	13946459	13949676	-
Chr3	13360418	13360773	-
Chr3	13894236	13895199	+
Chr3	10967728	10968059	+
Chr3	11324468	11327495	-
Chr3	12709121	12710179	-
Chr3	13236151	13236379	-
Chr3	13282225	13282292	+
Chr3	10293079	10293244	-
Chr3	7733812	7734169	+
Chr3	1872023	1872087	+
Chr3	9256353	9256633	+
Chr3	14642002	14642120	+
Chr3	8212497	8213454	-
Chr3	13639957	13640314	-
Chr3	13520089	13520489	-
Chr3	10680637	10681048	-
Chr3	11708655	11708984	+
Chr3	11693945	11694191	-
Chr3	14907923	14908280	-
Chr3	11707177	11707506	+
Chr3	9488116	9489244	-
Chr3	13510317	13512924	-
Chr3	9370120	9370531	-
Chr3	11714167	11715294	-
Chr3	13475492	13476524	+
Chr3	5392741	5393070	+
Chr3	11908325	11908652	-
Chr3	11799040	11799138	-
Chr3	11301119	11301487	+
Chr3	3664653	3665709	+
Chr3	17332268	17332637	+
Chr3	19666811	19667178	-
Chr3	10737762	10738131	+
Chr3	15956567	15956894	-
Chr4	1254181	1254883	+
Chr4	5779535	5779760	+
Chr4	7284066	7284288	-
Chr4	1230489	1230713	+
Chr4	17500895	17501119	+
Chr4	3775541	3784013	+
Chr4	3734500	3734546	-
Chr4	5191256	5191477	-
Chr4	3030224	3030444	+
Chr4	2904618	2905320	+
Chr4	2315817	2316042	+
Chr4	5448903	5451095	-
Chr4	7435473	7435699	+
Chr4	347602	349008	+
Chr4	3362472	3364950	+
Chr4	5883051	5884456	-
Chr4	793142	793366	-
Chr4	5570312	5570535	-
Chr4	4546363	4546589	+
Chr4	4686796	4686993	+
Chr4	8195395	8195616	-
Chr4	8772779	8773000	-
Chr4	5382084	5382218	-
Chr4	10793934	10794154	-
Chr4	1957713	1957924	+
Chr4	2735506	2735725	-
Chr4	7690446	7690665	-
Chr4	2697075	2714156	-
Chr4	3720535	3720757	+
Chr4	7700216	7700435	-
Chr4	7696965	7697184	-
Chr4	1813412	1820340	+
Chr4	5358174	5358396	+
Chr4	464812	465032	-
Chr4	1862848	1864259	+
Chr4	1304921	1308323	-
Chr4	652557	652780	+
Chr4	6006582	6006806	-
Chr4	5718712	5718738	-
Chr4	5391881	5394344	+
Chr4	3734616	3736025	-
Chr4	11441006	11441211	+
Chr4	1943284	1943478	+
Chr4	4164141	4171247	-
Chr4	1742385	1743785	-
Chr4	6376567	6379046	+
Chr4	12573758	12573985	-
Chr4	4934039	4934268	+
Chr4	3379353	3392103	-
Chr4	2533951	2534177	-
Chr4	2768642	2768870	+
Chr4	6111275	6111504	+
Chr4	5999748	5999974	-
Chr4	1852289	1853682	+
Chr4	6004303	6004529	-
Chr4	3893434	3894824	-
Chr4	3369466	3369675	+
Chr4	11921819	11922050	+
Chr4	5303457	5303685	-
Chr4	6195975	6197362	-
Chr4	6940951	6941181	+
Chr4	14249963	14249995	-
Chr4	5643629	5643856	-
Chr4	4590974	4592753	+
Chr4	4809553	4809778	-
Chr4	7101226	7102618	-
Chr4	7652338	7652385	-
Chr4	591677	591905	+
Chr4	3728624	3728649	+
Chr4	613553	613743	-
Chr4	5727796	5728023	+
Chr4	7216862	7217123	+
Chr4	1395729	1395953	-
Chr4	9566735	9566960	-
Chr4	14239114	14240518	+
Chr4	1568583	1568809	+
Chr4	3537210	3537290	-
Chr4	14711970	14713368	-
Chr4	6169368	6169426	-
Chr4	2121352	2121397	+
Chr4	13778040	13778268	+
Chr4	1304847	1304920	+
Chr4	1966043	1966269	+
Chr4	4601150	4601199	+
Chr4	4555082	4555123	+
Chr4	1956375	1956596	+
Chr4	5762055	5762282	+
Chr4	1848746	1850143	-
Chr4	4677142	4684195	-
Chr4	7703481	7703700	-
Chr4	3809553	3809771	-
Chr4	11088669	11088881	-
Chr4	11091929	11092141	-
Chr4	3358182	3359623	+
Chr4	11100313	11100525	-
Chr4	5485146	5494752	-
Chr4	5382219	5383660	+
Chr4	3237539	3240365	-
Chr4	3590831	3604525	-
Chr4	4428522	4429909	+
Chr4	11085410	11085622	-
Chr4	1992083	1992131	+
Chr4	9266228	9266443	+
Chr4	120130	121565	-
Chr4	14811535	14811603	-
Chr4	18577862	18578075	-
Chr4	3452653	3454090	+
Chr4	4309681	4309896	+
Chr4	3636109	3637892	-
Chr4	880157	880372	+
Chr4	6890438	6890650	-
Chr4	15790301	15790513	-
Chr4	637315	638757	-
Chr4	2338169	2338380	-
Chr4	4539298	4539509	-
Chr4	5655232	5656686	+
Chr4	8584431	8584642	-
Chr4	10351270	10351432	-
Chr4	13624768	13632048	+
Chr4	5422306	5422341	-
Chr4	2142824	2144276	-
Chr4	2169751	2169964	+
Chr4	8447555	8447766	-
Chr4	4904713	4906162	+
Chr4	7425564	7427007	-
Chr4	4907257	4907471	+
Chr4	4701735	4701947	-
Chr4	4735924	4738309	-
Chr4	6913796	6914010	+
Chr4	1356979	1358427	+
Chr4	1454619	1454830	-
Chr4	5729067	5729208	+
Chr4	5323990	5324201	-
Chr4	5351679	5351900	+
Chr4	2097856	2099291	-
Chr4	13336625	13336839	-
Chr4	592768	592987	+
Chr4	8144494	8145910	-
Chr4	274130	274347	-
Chr4	4957757	4957975	+
Chr4	14377158	14378575	-
Chr4	16773840	16774057	-
Chr4	1872416	1872632	-
Chr4	9755883	9755924	-
Chr4	7061023	7062440	-
Chr4	2899568	2900982	-
Chr4	1992132	1992302	+
Chr4	4950490	4952156	+
Chr4	7506387	7506605	-
Chr4	11103514	11103734	+
Chr4	7577972	7579387	+
Chr4	4235861	4238317	-
Chr4	2667278	2667495	-
Chr4	2119905	2121321	+
Chr4	4317158	4319612	-
Chr4	15825816	15825995	+
Chr4	2450347	2450564	+
Chr4	5604459	5605878	+
Chr4	6179011	6179205	-
Chr4	3376092	3378542	+
Chr4	11380643	11382073	+
Chr4	5359075	5359289	-
Chr4	2353048	2353262	-
Chr4	4761470	4768681	+
Chr4	3260204	3262152	-
Chr4	4923757	4923973	+
Chr4	2077462	2077604	-
Chr4	1033977	1034087	+
Chr4	6275356	6276779	+
Chr4	4033922	4035339	-
Chr4	4591779	4591996	+
Chr4	2826225	2826440	-
Chr4	7944932	7945148	+
Chr4	5174259	5174474	-
Chr4	7389649	7391071	+
Chr4	6599887	6600102	-
Chr4	463851	464066	-
Chr4	8959623	8959840	+
Chr4	9357139	9357370	+
Chr4	6807785	6807810	+
Chr4	6483694	6483718	+
Chr4	5180786	5182116	-
Chr4	6700218	6700464	+
Chr4	11595167	11595410	-
Chr4	5037691	5038245	+
Chr4	18304197	18304442	+
Chr4	1288154	1288400	+
Chr4	583498	583741	-
Chr4	1010063	1010109	+
Chr4	8803783	8804028	+
Chr4	11615096	11615152	+
Chr4	5175999	5176243	-
Chr4	5579271	5579516	-
Chr4	6874493	6874740	+
Chr4	10247885	10248132	+
Chr4	690520	690767	+
Chr4	7267244	7267489	-
Chr4	1595963	1597295	+
Chr4	1890480	1890720	+
Chr4	5567794	5575599	-
Chr4	2279755	2286685	-
Chr4	1573046	1573289	-
Chr4	12435601	12435846	+
Chr4	4214410	4214442	+
Chr4	6079869	6082397	-
Chr4	2315115	2315357	+
Chr4	3886418	3893274	-
Chr4	10054630	10054872	+
Chr4	17232790	17233031	-
Chr4	12261932	12263275	-
Chr4	18377625	18377865	-
Chr4	5428811	5429018	+
Chr4	4734178	4735519	-
Chr4	14740843	14741086	+
Chr4	12862326	12862570	+
Chr4	2841684	2841926	-
Chr4	8842131	8843471	-
Chr4	5345698	5347026	-
Chr4	10742528	10743871	+
Chr4	7640971	7641212	-
Chr4	1795814	1796057	+
Chr4	7718353	7718596	+
Chr4	791704	793045	-
Chr4	4402811	4403537	-
Chr4	2594651	2594898	+
Chr4	6064177	6065506	+
Chr4	8776571	8776652	-
Chr4	10759354	10759606	+
Chr4	1667890	1669206	+
Chr4	3584158	3584407	-
Chr4	5998173	5998422	-
Chr4	6065507	6065543	+
Chr4	6000454	6000703	-
Chr4	6503931	6505247	-
Chr4	6002736	6002985	-
Chr4	2295513	2295763	-
Chr4	5545534	5546719	-
Chr4	3299672	3299695	+
Chr4	6595577	6595828	-
Chr4	3514199	3516760	-
Chr4	2733589	2734901	-
Chr4	697319	697570	-
Chr4	10286987	10287176	+
Chr4	10400614	10400867	+
Chr4	7427008	7427261	+
Chr4	6413322	6414638	-
Chr4	6005009	6005172	-
Chr4	12484047	12484296	-
Chr4	7403743	7403812	+
Chr4	6426365	6426617	-
Chr4	5680790	5681037	-
Chr4	6830753	6830823	+
Chr4	4401024	4402351	-
Chr4	9217443	9217690	-
Chr4	7195127	7195172	-
Chr4	2890361	2890380	+
Chr4	964481	965805	-
Chr4	7810694	7810943	+
Chr4	6584185	6584434	+
Chr4	4859694	4859936	-
Chr4	1090722	1090973	+
Chr4	5212252	5213568	-
Chr4	157842	158088	-
Chr4	3249227	3250544	-
Chr4	7593999	7594194	+
Chr4	2267670	2267918	-
Chr4	3230203	3231793	-
Chr4	3733374	3733622	-
Chr4	4951151	4951391	-
Chr4	6544841	6546186	+
Chr4	3671190	3671429	-
Chr4	9796136	9796370	-
Chr4	3483156	3484488	-
Chr4	11211653	11211693	+
Chr4	7164717	7164802	+
Chr4	921129	921214	+
Chr4	4857278	4859693	+
Chr4	119896	119958	-
Chr4	9842608	9842841	-
Chr4	497146	498520	+
Chr4	6505254	6505488	-
Chr4	2244848	2245084	+
Chr4	5964449	5964685	+
Chr4	5369690	5369720	-
Chr4	17213048	17214415	-
Chr4	7990414	7990601	+
Chr4	8809603	8809837	-
Chr4	4913759	4915128	-
Chr4	17534416	17534650	-
Chr4	588968	589231	+
Chr4	1253895	1254130	+
Chr4	2549350	2549470	-
Chr4	7347346	7348719	-
Chr4	5361033	5362413	-
Chr4	4730445	4732941	-
Chr4	615220	615452	+
Chr4	5057117	5057556	-
Chr4	7786287	7786468	-
Chr4	2016444	2018942	+
Chr4	2839570	2839652	+
Chr4	3728650	3728865	+
Chr4	1299029	1299259	-
Chr4	4722731	4729735	-
Chr4	6811671	6811903	+
Chr4	3374713	3374812	+
Chr4	4511986	4512096	-
Chr4	7164803	7164831	+
Chr4	4822320	4822416	-
Chr4	7279793	7280003	+
Chr4	8882426	8883800	-
Chr4	5742312	5742545	+
Chr4	1595599	1595832	+
Chr4	738417	738650	+
Chr4	3255658	3255680	-
Chr4	3253123	3253145	-
Chr4	4650821	4657218	+
Chr4	6418670	6418746	-
Chr4	1858675	1860023	+
Chr4	17451379	17451466	-
Chr4	5315074	5315314	+
Chr4	4993202	4994551	-
Chr4	1190061	1190301	+
Chr4	2570595	2570834	+
Chr4	4514682	4517207	+
Chr4	1098645	1099991	-
Chr4	9945037	9945056	-
Chr4	8367949	8368189	+
Chr4	692491	692732	+
Chr4	4845484	4846828	-
Chr4	6627506	6627745	-
Chr4	1198251	1199600	-
Chr4	2430742	2430981	-
Chr4	4208775	4209015	+
Chr4	498521	498549	+
Chr4	5112772	5114119	+
Chr4	4947932	4948153	+
Chr4	3009311	3009523	+
Chr4	3491714	3491951	+
Chr4	11872973	11874325	+
Chr4	11224091	11225451	+
Chr4	1972560	1972795	-
Chr4	876406	876641	-
Chr4	1612599	1613961	+
Chr4	1258108	1258343	-
Chr4	6807811	6810327	+
Chr4	1756439	1756676	+
Chr4	6169427	6169454	-
Chr4	5178571	5178809	+
Chr4	3910994	3911068	+
Chr4	2520616	2520852	-
Chr4	604686	604727	-
Chr4	11097720	11097957	-
Chr4	6627847	6628086	+
Chr4	3533235	3533472	-
Chr4	4281762	4288696	+
Chr4	7910832	7911059	-
Chr4	6443576	6443813	-
Chr4	4942306	4942544	+
Chr4	10538255	10539611	-
Chr4	5671169	5671240	-
Chr4	5743336	5743548	+
Chr4	5706079	5708518	+
Chr4	2986743	2988323	+
Chr4	3613846	3614033	-
Chr4	5749318	5749505	-
Chr4	5546720	5546817	-
Chr4	2756053	2756240	-
Chr4	4649393	4649581	+
Chr4	2094129	2094218	+
Chr4	5921083	5921272	+
Chr4	10394592	10394779	-
Chr4	17146170	17146191	-
Chr4	7059645	7059748	-
Chr4	5503613	5503655	+
Chr4	13074535	13074724	-
Chr4	5028524	5030098	-
Chr4	14340845	14341034	-
Chr4	4542528	4542716	-
Chr4	5138388	5139965	+
Chr4	5432362	5432550	-
Chr4	15965	17542	+
Chr4	4792850	4793038	+
Chr4	8819991	8821573	-
Chr4	5373673	5373858	-
Chr4	11370801	11370918	+
Chr4	14457479	14457514	+
Chr4	8740797	8742387	+
Chr4	4281712	4281761	+
Chr4	8728060	8728247	+
Chr4	3507989	3509559	+
Chr4	5227527	5229890	+
Chr4	5074230	5075819	-
Chr4	7829231	7829418	+
Chr4	736942	737127	-
Chr4	5335856	5337853	+
Chr4	7760657	7760845	+
Chr4	11080491	11082077	+
Chr4	7573004	7573054	-
Chr4	7564125	7565284	+
Chr4	11830747	11830786	-
Chr4	1993915	1994100	-
Chr4	10285402	10286986	-
Chr4	474245	474382	-
Chr4	4310052	4310239	+
Chr4	2096389	2096575	+
Chr4	5636342	5636533	+
Chr4	6624816	6626388	+
Chr4	4429912	4429975	+
Chr4	5091341	5093786	-
Chr4	3775347	3775538	-
Chr4	836020	836211	-
Chr4	3071196	3072810	-
Chr4	10520338	10520529	-
Chr4	5852886	5853077	-
Chr4	1011399	1011592	+
Chr4	4084836	4086395	-
Chr4	6681041	6681183	-
Chr4	3114505	3114696	-
Chr4	4934323	4934517	+
Chr4	5034253	5036635	+
Chr4	9438542	9440095	+
Chr4	6216351	6216441	-
Chr4	4670289	4670476	+
Chr4	3299696	3301250	+
Chr4	5882856	5882946	+
Chr4	4777191	4778739	+
Chr4	3753282	3753473	-
Chr4	10395147	10395338	-
Chr4	593747	595309	-
Chr4	2402566	2402757	+
Chr4	3819886	3827853	+
Chr4	4560576	4560765	-
Chr4	12767505	12767696	+
Chr4	3352991	3354561	-
Chr4	1766202	1766223	+
Chr4	4909065	4909203	+
Chr4	2815272	2815461	-
Chr4	5383661	5383684	-
Chr4	4142041	4143606	-
Chr4	5057644	5060007	-
Chr4	4499969	4501533	-
Chr4	10918644	10918836	+
Chr4	3449451	3449643	+
Chr4	5281903	5282094	+
Chr4	17534229	17534415	+
Chr4	3254089	3255653	-
Chr4	6280372	6280554	+
Chr4	12269420	12269612	+
Chr4	7781638	7781828	-
Chr4	7762680	7762866	+
Chr4	3072811	3074368	+
Chr4	10011309	10011495	+
Chr4	6030004	6030024	-
Chr4	4592825	4594825	+
Chr4	10427156	10427334	-
Chr4	12263313	12263456	+
Chr4	3036136	3036265	-
Chr4	10508742	10514094	-
Chr4	2420270	2420447	-
Chr4	6529315	6537160	-
Chr4	6599402	6599466	-
Chr4	2297640	2300477	+
Chr4	5554356	5554534	-
Chr4	5541887	5542066	-
Chr4	6242623	6242649	+
Chr4	17821791	17821972	+
Chr4	4822547	4824153	+
Chr4	6552640	6552819	-
Chr4	5485113	5485145	-
Chr4	5934829	5936446	-
Chr4	5909248	5911593	+
Chr4	5472412	5474036	+
Chr4	11673647	11673824	-
Chr4	17799584	17799763	+
Chr4	4163847	4163897	-
Chr4	4788477	4790109	+
Chr4	1256797	1256972	-
Chr4	3053048	3053223	-
Chr4	3481524	3483155	-
Chr4	9990158	9990336	+
Chr4	12335948	12336007	+
Chr4	3124143	3124318	-
Chr4	3834544	3836517	+
Chr4	7827758	7827853	+
Chr4	7299608	7299784	-
Chr4	18377479	18377624	-
Chr4	1214815	1214992	-
Chr4	3498043	3499665	-
Chr4	3662284	3662365	-
Chr4	6209999	6211623	-
Chr4	12338274	12338451	-
Chr4	2989876	2990052	-
Chr4	5230692	5230870	+
Chr4	2800878	2802508	+
Chr4	1653591	1655934	-
Chr4	6579839	6579976	+
Chr4	3915210	3916822	-
Chr4	11363025	11363210	+
Chr4	7969877	7970060	-
Chr4	2380487	2380671	+
Chr4	5038246	5039017	+
Chr4	3254029	3254088	-
Chr4	5872740	5874342	+
Chr4	8800852	8801034	-
Chr4	5703240	5703373	-
Chr4	7969439	7969577	+
Chr4	5890042	5891644	+
Chr4	4661576	4663916	-
Chr4	7154516	7154676	+
Chr4	4875167	4876758	-
Chr4	2180294	2180480	+
Chr4	2822645	2824348	+
Chr4	8740775	8740796	-
Chr4	3883203	3885982	+
Chr4	10740860	10742458	-
Chr4	7037988	7038080	-
Chr4	8957687	8959287	+
Chr4	1754083	1754357	+
Chr4	12115529	12115713	+
Chr4	1966429	1968034	+
Chr4	4628273	4628453	-
Chr4	2811238	2811420	+
Chr4	6428158	6429769	+
Chr4	5321219	5321401	+
Chr4	3529616	3529796	-
Chr4	8783865	8785474	-
Chr4	1881362	1881543	+
Chr4	17678563	17678634	+
Chr4	9927873	9928054	-
Chr4	637282	637314	+
Chr4	5619332	5620939	-
Chr4	2564858	2566466	+
Chr4	190592	190774	-
Chr4	11869850	11872205	-
Chr4	2995811	2995843	+
Chr4	5380847	5381031	+
Chr4	10911130	10912736	-
Chr4	8294777	8294919	+
Chr4	15338869	15339050	-
Chr4	4208175	4208317	-
Chr4	2890107	2890360	+
Chr4	2061693	2061885	-
Chr4	3131334	3132886	+
Chr4	5227321	5227439	-
Chr4	4093298	4093536	+
Chr4	6723139	6723188	+
Chr4	6907629	6907836	+
Chr4	5835598	5837090	+
Chr4	5037503	5037690	-
Chr4	2547491	2547697	+
Chr4	9795930	9796135	-
Chr4	3076991	3078446	-
Chr4	5198956	5200445	+
Chr4	2231536	2231741	-
Chr4	4934269	4934290	+
Chr4	5394345	5394404	+
Chr4	8417120	8417325	-
Chr4	728326	728533	+
Chr4	919642	921128	-
Chr4	4851355	4851562	+
Chr4	5470911	5472397	-
Chr4	1816902	1819323	-
Chr4	9840415	9840608	-
Chr4	2268045	2268203	-
Chr4	4652565	4654061	-
Chr4	5844929	5845120	+
Chr4	6429859	6429973	-
Chr4	1481577	1481721	+
Chr4	5192449	5192471	-
Chr4	1939990	1940192	-
Chr4	6201667	6201872	+
Chr4	5102687	5103112	-
Chr4	2696708	2696910	-
Chr4	2078891	2079096	+
Chr4	10546507	10553980	+
Chr4	1063407	1063610	-
Chr4	7557359	7559782	-
Chr4	13223011	13223217	+
Chr4	7909427	7909631	-
Chr4	1873418	1873623	-
Chr4	1828621	1829890	-
Chr4	2888606	2890101	-
Chr4	5279801	5279891	-
Chr4	13711376	13711581	+
Chr4	7443547	7443633	+
Chr4	5190742	5190858	-
Chr4	4122156	4123599	+
Chr4	5919331	5919537	-
Chr4	8782112	8783572	+
Chr4	9175500	9175652	+
Chr4	144567	144668	-
Chr4	7567024	7567506	-
Chr4	1280405	1280595	+
Chr4	8622633	8623014	+
Chr4	4549308	4550773	+
Chr4	1682027	1684460	-
Chr4	1280384	1280404	+
Chr4	3405167	3406623	-
Chr4	5649905	5649955	-
Chr4	9874690	9876146	+
Chr4	5160309	5160365	+
Chr4	6172636	6172846	-
Chr4	5865744	5867198	-
Chr4	15826849	15827061	+
Chr4	7358395	7358606	+
Chr4	1141844	1143301	+
Chr4	4889422	4889633	+
Chr4	5669703	5671168	-
Chr4	9034074	9034550	+
Chr4	3097973	3099355	+
Chr4	5806782	5806991	+
Chr4	11038964	11039173	+
Chr4	10591599	10593075	-
Chr4	4742565	4744993	-
Chr4	2998435	3000865	+
Chr4	2790374	2792042	-
Chr4	4638725	4638933	+
Chr4	4657346	4658822	-
Chr4	5554039	5554093	+
Chr4	4496754	4496963	+
Chr4	3111926	3112133	-
Chr4	4654062	4655128	-
Chr4	2636210	2636419	+
Chr4	9771101	9771301	+
Chr4	2996027	2998434	+
Chr4	6579265	6579467	-
Chr4	1970550	1973228	+
Chr4	11583866	11584073	-
Chr4	2270359	2277985	-
Chr4	5951594	5951664	-
Chr4	9010958	9011067	+
Chr4	324906	325060	-
Chr4	9006666	9008164	-
Chr4	4864082	4865631	+
Chr4	66082	66278	-
Chr4	2297365	2297561	-
Chr4	3190072	3191621	+
Chr4	3330404	3330602	+
Chr4	13901986	13902166	-
Chr4	17426394	17426589	-
Chr4	2521988	2522124	+
Chr4	7422109	7424541	-
Chr4	14457515	14457666	-
Chr4	16571570	16573114	+
Chr4	2890381	2899567	+
Chr4	5136512	5138048	+
Chr4	498550	498725	+
Chr4	12109718	12109841	+
Chr4	3227829	3229519	-
Chr4	2268953	2269149	-
Chr4	1830347	1830543	-
Chr4	15698996	15699195	+
Chr4	2087672	2090064	+
Chr4	3289806	3290000	-
Chr4	7384295	7385843	-
Chr4	6359735	6359928	-
Chr4	6685476	6685669	-
Chr4	7808100	7808295	+
Chr4	12302972	12303167	+
Chr4	4172297	4175930	-
Chr4	2535868	2536063	+
Chr4	1233442	1233635	-
Chr4	13370875	13371070	+
Chr4	488298	488366	+
Chr4	4307637	4309187	+
Chr4	381801	381996	+
Chr4	4685216	4686766	+
Chr4	6173525	6173721	+
Chr4	6410436	6410466	+
Chr4	6561515	6561712	-
Chr4	5985260	5985454	-
Chr4	2117777	2117972	+
Chr4	8756713	8756812	+
Chr4	53736	53929	-
Chr4	3003291	3004460	-
Chr4	4399486	4401020	-
Chr4	4637761	4637960	+
Chr4	2660802	2660916	+
Chr4	7490737	7490873	+
Chr4	3268608	3270089	-
Chr4	3259135	3259154	-
Chr4	18425375	18425575	-
Chr4	7292238	7293752	-
Chr4	2000986	2001188	+
Chr4	2218641	2218840	-
Chr4	4848199	4848400	+
Chr4	3536834	3537035	-
Chr4	11372670	11372756	+
Chr4	6015546	6015747	-
Chr4	3401984	3402186	+
Chr4	3926810	3929220	+
Chr4	5036636	5036829	+
Chr4	3560873	3562389	-
Chr4	5003244	5004820	-
Chr4	379389	379592	+
Chr4	6211721	6211922	-
Chr4	496999	497145	+
Chr4	5000001	5001509	-
Chr4	3379164	3379352	+
Chr4	4744994	4745193	-
Chr4	5103209	5104725	-
Chr4	4609217	4610745	-
Chr4	7516794	7516993	+
Chr4	9797697	9797894	-
Chr4	3811871	3813399	-
Chr4	15975143	15975342	+
Chr4	5983869	5984066	-
Chr4	1768502	1770033	-
Chr4	601981	602176	+
Chr4	5391521	5391541	+
Chr4	5356129	5356291	-
Chr4	2905321	2906850	+
Chr4	3832304	3833816	+
Chr4	8620372	8620572	+
Chr4	6000759	6000933	-
Chr4	4693779	4696181	-
Chr4	10822164	10822364	+
Chr4	3844628	3852229	-
Chr4	7539951	7540149	-
Chr4	7864195	7864308	+
Chr4	7427262	7427462	+
Chr4	2352191	2352366	-
Chr4	1397296	1397548	-
Chr4	371493	371745	-
Chr4	3630176	3636108	-
Chr4	2972797	2972937	-
Chr4	3766820	3768072	-
Chr4	12365612	12365927	-
Chr4	2802626	2803778	+
Chr4	6216033	6216350	+
Chr4	8585365	8585679	-
Chr4	3604576	3604890	-
Chr4	6037932	6039098	+
Chr4	4328378	4328695	+
Chr4	4525269	4526432	+
Chr4	4996188	4996443	+
Chr4	5257027	5271699	+
Chr4	11229050	11229366	-
Chr4	7230251	7230567	-
Chr4	10754828	10755989	-
Chr4	3194055	3194370	-
Chr4	4949240	4949556	-
Chr4	13537670	13537985	-
Chr4	4334411	4334727	+
Chr4	9062901	9063215	-
Chr4	7290980	7292150	+
Chr4	9173930	9174232	+
Chr4	5919538	5920712	+
Chr4	3681532	3691585	-
Chr4	118559	118859	+
Chr4	6823382	6824556	+
Chr4	5553884	5554038	-
Chr4	9112213	9112420	-
Chr4	1301635	1301947	-
Chr4	2121322	2121351	+
Chr4	5923009	5923322	-
Chr4	2986427	2986508	+
Chr4	2081707	2082877	+
Chr4	3663181	3663446	+
Chr4	17543	17859	+
Chr4	3672532	3672848	-
Chr4	2525841	2526154	-
Chr4	4306265	4307428	+
Chr4	4747058	4749846	-
Chr4	12003269	12004438	-
Chr4	1943479	1943750	+
